precinct
" 0101 Bedford Borough East Ward St. James Episcopal Church, John St, Bedford"
" 0102 Bedford Borough West Ward Bedford Area Ambulance Service, 130 West Vondersmith Ave., Bedford"
" 0201 Bedford Township No 1 Township Bldg., Shed Rd, Bedford"
" 0202 Bedford Township No 2 Bedford Fairgrounds 4H Building, W. Pitt St, Bedford"
"0301 Bloomfield Township Township Community Bldg, Lafayette Rd, Bakers Summit"
"0401 Broad Top Township Old Deficance Elementary School, 124 Hitchens Rd, Defiance"
"0501 Coaldale Borough Township Bldg, Municipal Rd, Defiance"
"0601 Colerain Township Colerain Twp Municipal Bldg, Main Rd, Bedford"
"0701 Cumberland Valley Township (69th) Community Bldg, Park Rd, Centerville"
"0801 Everett Borough Municipal Bldg, 100 Mechanic St, Everett"
" 0901 Harrison Township (69th) Harrison-Manns Choice Comm Bldg, Rt 96/Rt 31, Manns Choice"
"1001 Hopewell Borough Senior Citizens Center, Mifflin St, Hopewell"
"1101 Hopewell Township Township Municipal Bldg, Raystown Rd, Hopewell"
" 1201 Hyndman Borough (69th) Hyndman Vol Fire Dept, 3912 Center St, Hyndman"
" 1301 Juniata Township (69th) Social Hall, Christ Victory Church, 470 Buena Rd., Manns Choice"
" 1401 Kimmel Township Old Queen School, Schellsburg Rd., Queen"
" 1501 King Township (69th) Township Municipal Bldg, S Imler Valley Rd, Osterburg"
" 1601 Liberty Township Election House, 1400 Wall St, Saxton"
" 1701 Lincoln Township (69th) Election House, 963 Lovely Road, Alum Bank"
" 1801 Londonderry Township (69th) Township Municipal Bldg, Rt 96, Hyndman"
" 1901 Mann Township Community Bldg, Mountain Rd, Artemas"
" 2001 Manns Choice Borough (69th) Harrison-Manns Choice Comm Bldg, Rt 96/Rt31, Manns Choice"
" 2101 Monroe Township Township Municipal Bldg, Rock Hill Church Rd, Clearville"
" 2201 Napier Township (69th) VFW 444, Rt 30, Schellsburg PA"
" 2301 New Paris Borough (69th) Community Bldg, Cortland Drive, New Paris"
" 2401 Pleasantville Borough (69th) Alum Bank Community Fire Hall, King St Clair Rd, Alum Bank"
" 2501 East Providence Township Township Municipal Bldg, Municipal Rd, Breezewood"
" 2502 West Providence Township Township Municipal Bldg, State St., Everett"
" 2601 Rainsburg Borough Colerain Twp Municipal Bldg, Main Rd, Bedford"
" 2701 Saxton Borough Saxton Boro Bldg, 9th & Spring St, Saxton"
" 2801 Schellsburg Borough (69th) VFW 444, Rt 30, Schellsburg"
" 2901 Snake Spring Township Snake Spring Municipal Bldg, Pennknoll Rd, Everett"
"3003 Southampton Township Township Building 312 Chaneysville Cv Rd, Everett"
" 3101 St. Clairsville Borough Township Municipal Bldg, Quaker Valley Rd, New Paris"
" 3201 East St. Clair Township Township Municipal Bldg, Quaker Valley Rd, New Paris"
" 3202 West St. Clair Township (69th) Alum Bank Community Fire Hall, King St Clair Rd, Alum Bank"
" 3301 Pavia Township Election House, Pavia Rd, Pavia"
" 3401 Woodbury Borough Woodbury Community Center, Woodbury Pike, Woodbury"
" 3501 Woodbury Township Woodbury Community Center, Woodbury Pike, Woodbury"
" 3601 South Woodbury Township Township Building, 125 North Rd, New Enterprise"
