candidate,votes,election_day,absentee,provisional
0001 ADAMS TOWNSHIP 1,,,,
TOTAL,,,,
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,957",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"2,446","2,323",122,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,521,491,29,1
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,811,758,53,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .","1,047",996,50,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,369","1,297",72,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",15,15,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,"1,115","1,066",48,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,295","1,222",73,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,4,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,24,24,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,947,903,43,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,473","1,396",77,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,23,21,2,0
