county,precinct,office,district,candidate,party,votes,absentee,election_day
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,DEMOCRATIC,DEM,521,29,491
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,REPUBLICAN,REP,811,53,758
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,GREEN,GRN,1,0,1
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,INDEPENDENT,IND,0,0,0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,LIBERTARIAN,LIB,1,0,1
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,"BOB CASEY, JR",DEM,"1,047",50,996
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,LOU BARLETTA,REP,"1,369",72,"1,297"
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,NEAL GALE,GRN,6,0,6
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,"DALE R KERNS, JR",LIB,15,0,15
Butler,0001 ADAMS TOWNSHIP 1,Governor,,TOM WOLF,DEM,"1,115",48,"1,066"
Butler,0001 ADAMS TOWNSHIP 1,Governor,,SCOTT R WAGNER,REP,"1,295",73,"1,222"
Butler,0001 ADAMS TOWNSHIP 1,Governor,,PAUL GLOVER,GRN,4,0,4
Butler,0001 ADAMS TOWNSHIP 1,Governor,,KEN V KRAWCHUK,LIB,24,0,24
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,RON DINICOLA,DEM,947,43,903
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,MIKE KELLY,REP,"1,473",77,"1,396"
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,EBERT G BILL BEEMAN,LIB,23,2,21
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,"DANIEL B SMITH, JR",DEM,"1,105",47,"1,057"
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,DARYL METCALFE,REP,"1,319",75,"1,244"
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,DEMOCRATIC,DEM,330,37,292
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,REPUBLICAN,REP,759,65,693
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,GREEN,GRN,1,0,1
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,INDEPENDENT,IND,0,0,0
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,LIBERTARIAN,LIB,2,0,2
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,"BOB CASEY, JR",DEM,702,70,631
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,LOU BARLETTA,REP,"1,212",101,"1,106"
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,NEAL GALE,GRN,5,0,5
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,"DALE R KERNS, JR",LIB,21,1,20
Butler,0002 ADAMS TOWNSHIP 2,Governor,,TOM WOLF,DEM,756,69,686
Butler,0002 ADAMS TOWNSHIP 2,Governor,,SCOTT R WAGNER,REP,"1,158",101,"1,052"
Butler,0002 ADAMS TOWNSHIP 2,Governor,,PAUL GLOVER,GRN,7,0,7
Butler,0002 ADAMS TOWNSHIP 2,Governor,,KEN V KRAWCHUK,LIB,24,2,22
Butler,0002 ADAMS TOWNSHIP 2,U.S. House,16.0,RON DINICOLA,DEM,646,64,581
Butler,0002 ADAMS TOWNSHIP 2,U.S. House,16.0,MIKE KELLY,REP,"1,281",105,"1,171"
Butler,0002 ADAMS TOWNSHIP 2,U.S. House,16.0,EBERT G BILL BEEMAN,LIB,21,3,18
Butler,0002 ADAMS TOWNSHIP 2,State House,12.0,"DANIEL B SMITH, JR",DEM,729,70,658
Butler,0002 ADAMS TOWNSHIP 2,State House,12.0,DARYL METCALFE,REP,"1,207",98,"1,105"
Butler,0003 ADAMS TOWNSHIP 3,Straight Party,,DEMOCRATIC,DEM,400,16,384
Butler,0003 ADAMS TOWNSHIP 3,Straight Party,,REPUBLICAN,REP,901,72,829
Butler,0003 ADAMS TOWNSHIP 3,Straight Party,,GREEN,GRN,0,0,0
Butler,0003 ADAMS TOWNSHIP 3,Straight Party,,INDEPENDENT,IND,0,0,0
Butler,0003 ADAMS TOWNSHIP 3,Straight Party,,LIBERTARIAN,LIB,3,1,2
Butler,0003 ADAMS TOWNSHIP 3,U.S. Senate,,"BOB CASEY, JR",DEM,900,47,853
Butler,0003 ADAMS TOWNSHIP 3,U.S. Senate,,LOU BARLETTA,REP,"1,458",103,"1,355"
Butler,0003 ADAMS TOWNSHIP 3,U.S. Senate,,NEAL GALE,GRN,7,1,6
Butler,0003 ADAMS TOWNSHIP 3,U.S. Senate,,"DALE R KERNS, JR",LIB,18,1,17
Butler,0003 ADAMS TOWNSHIP 3,Governor,,TOM WOLF,DEM,962,50,912
Butler,0003 ADAMS TOWNSHIP 3,Governor,,SCOTT R WAGNER,REP,"1,397",97,"1,300"
Butler,0003 ADAMS TOWNSHIP 3,Governor,,PAUL GLOVER,GRN,6,0,6
Butler,0003 ADAMS TOWNSHIP 3,Governor,,KEN V KRAWCHUK,LIB,27,5,22
Butler,0003 ADAMS TOWNSHIP 3,U.S. House,16.0,RON DINICOLA,DEM,796,41,755
Butler,0003 ADAMS TOWNSHIP 3,U.S. House,16.0,MIKE KELLY,REP,"1,582",109,"1,473"
Butler,0003 ADAMS TOWNSHIP 3,U.S. House,16.0,EBERT G BILL BEEMAN,LIB,18,1,17
Butler,0003 ADAMS TOWNSHIP 3,State House,12.0,"DANIEL B SMITH, JR",DEM,898,44,854
Butler,0003 ADAMS TOWNSHIP 3,State House,12.0,DARYL METCALFE,REP,"1,481",104,"1,377"
Butler,0004 ALLEGHENY TOWNSHIP,Straight Party,,DEMOCRATIC,DEM,28,0,28
Butler,0004 ALLEGHENY TOWNSHIP,Straight Party,,REPUBLICAN,REP,101,6,95
Butler,0004 ALLEGHENY TOWNSHIP,Straight Party,,GREEN,GRN,1,0,1
Butler,0004 ALLEGHENY TOWNSHIP,Straight Party,,INDEPENDENT,IND,0,0,0
Butler,0004 ALLEGHENY TOWNSHIP,Straight Party,,LIBERTARIAN,LIB,0,0,0
Butler,0004 ALLEGHENY TOWNSHIP,U.S. Senate,,"BOB CASEY, JR",DEM,55,1,54
Butler,0004 ALLEGHENY TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,139,5,133
Butler,0004 ALLEGHENY TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,2,0,2
Butler,0004 ALLEGHENY TOWNSHIP,U.S. Senate,,"DALE R KERNS, JR",LIB,1,0,1
Butler,0004 ALLEGHENY TOWNSHIP,Governor,,TOM WOLF,DEM,59,1,58
Butler,0004 ALLEGHENY TOWNSHIP,Governor,,SCOTT R WAGNER,REP,132,5,126
Butler,0004 ALLEGHENY TOWNSHIP,Governor,,PAUL GLOVER,GRN,5,0,5
Butler,0004 ALLEGHENY TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0,0
Butler,0004 ALLEGHENY TOWNSHIP,U.S. House,15.0,SUSAN BOSER,DEM,48,1,47
Butler,0004 ALLEGHENY TOWNSHIP,U.S. House,15.0,GLENN GT THOMPSON,REP,147,5,142
Butler,0004 ALLEGHENY TOWNSHIP,State House,64.0,JOHN KLUCK,DEM,48,0,48
Butler,0004 ALLEGHENY TOWNSHIP,State House,64.0,R. LEE JAMES,REP,145,6,139
Butler,0005 BRADY TOWNSHIP,Straight Party,,DEMOCRATIC,DEM,63,5,58
Butler,0005 BRADY TOWNSHIP,Straight Party,,REPUBLICAN,REP,170,2,168
Butler,0005 BRADY TOWNSHIP,Straight Party,,GREEN,GRN,2,0,2
Butler,0005 BRADY TOWNSHIP,Straight Party,,INDEPENDENT,IND,0,0,0
Butler,0005 BRADY TOWNSHIP,Straight Party,,LIBERTARIAN,LIB,0,0,0
