Name,Precinct,Address,Sample Ballots
Bellefonte North,01,"Logan Fire Hall,120 E. Howard St. (Main Entrance)Map",
Bellefonte Northeast,02,Bellefonte Middle School100 N School StreetMap,
Bellefonte South,03,"Lambert Hall,303 Forge Road, (Corner of Blanchard Street and Forge Road)Map",
Bellefonte Southeast,04,"Faith United Methodist Church,512 Hughes St. (Back Entrance, Room 51)Map",
Bellefonte West,05,"First Presbyterian Church,203 North Spring Street, (Fellowship Hall - Glass Doors)Map",
Benner North,36,"Benner Township Building,1224 Buffalo Run Rd. (Front Entrance)Map",
Benner South,37,"Remodelers Workshop,105 Stonecrest DriveMap",
Benner South Independent,37a,"Remodelers Workshop,105 Stonecrest DriveMap",
Boggs East,38,"Associated Builders/Contractors,898 North Eagle Valley Road,Milesburg (I-80 and Route 150, Across from Subway)Map",
Boggs West,39,"Boggs Township Community Building,1290 Runville Rd.,Bellefonte (Along SR-144 in Runville)Map",
Burnside,40,Pine Glen Fire Company1003 Pine Glen RoadKarthusMap,
Centre Hall,06,"Centre Hall Fire Hall,207 N. Pennsylvania Ave. (Use Side Entrance)Map",
College East,43,"Mount Nittany United Methodist Church,1500 E Branch Rd.,Lemont (Side Door Facing Parking Lot)Map",
College North,41,"Houserville United Methodist Church,1320 Houserville Rd. (Side Entrance)Map",
College South,42,"State College Assembly of God,2201 University DriveMap",
College West,44 -144-2,"College Township Municipal Building,1481 East College Avenue MapPenn State Students living in Hasting, Synder, Stone, and Stuart HallsHetzel Union Building (HUB),Pollock Rd. (Alumni Hall) Map",
Curtin North,45,"Orviston Bible Church,75 Main Street,Orviston (Located in Church Annex)Map",
Curtin South,46,"Curtin Township Building,275 Orviston Mountain Road,HowardMap",
Ferguson East,51,"Ferguson Township Lions Park,424 W. Pine Grove Road,Pine Grove MillsMap",
Ferguson North 1,47,"Ferguson Township Building,3147 Research Drive (Meeting Room)Map",
Ferguson North 2,48,Park Forest Middle School2180 School DriveMap,
Ferguson North 3,88,Corl Street Elementary235 South Corl StreetMap,
Ferguson North Central,91,"Stepping Stones Community Church,848 Science Park Rd.,State College (Main Entrance)Map",
Ferguson Northeast 1,49,"The Heights of State College,201 Northwick Bvld, Club HouseMap",
Ferguson Northeast 2,50,Radio Park Elementary800 West Cherry LaneMap,
Ferguson West,52,"Fairbrook United Methodist Church,4201 W. Whitehall Rd,PA FurnaceMap",
Ferguson West Central,89,"Videon Central,2171 Sandy Drive,State College (Conference Room)Map",
Gregg,53,New Hope Lutheran Church119 Cobblestone CourtSpring MillsMap,
Haines,54,"Civic Club Building,315 W. Aaron Square,AaronsburgMap",
Halfmoon,55,"Halfmoon Township Building,100 Municipal Lane,Port Matilda (Front Entrance)Map",
Halfmoon East Central,90,"Halfmoon Christian Fellowship Church,1776 Halfmoon Valley Rd.Map",
Harris East,56,Boalsburg Fire HallPine StreetBoalsburgMap,
Harris West,57,"Boalsburg Fire Hall,113 E. Pine St.,BoalsburgMap",
Howard Borough,07,"Fire Hall,341 Walnut St.Map",
Howard Township,58,"Howard Twp. Supervisors Building,151 Township Building Rd. (Off SR-150)Map",
Huston,59,"Huston Twp. Community Center,1190 Allegheny St.,Julian (Off SR-220)Map",
Liberty,60,"Faith Baptist Church,143 Liberty St.,Blanchard (Off SR-220)Map",
Marion,61,"Marion Township Building,4337 Jacksonville Rd.,JacksonvilleMap",
Miles East,62,"Mile Twp. Fire Hall,102 Broad Street,RebersburgMap",
Miles West,63,"Madisonburg Civic Center,134 Madisonburg Pike,MadisonburgMap",
Milesburg,08,"Community Center,101 Mill St. (Front Entrance)Map",
Millheim,09,"Millheim Fire Hall,103 and 105 North St.Map",
Patton North 1,64,"Patton Township Building,100 Patton Plaza,State CollegeMap",
