county,precinct,office,district,candidate,party,votes,absentee,election_day
Schuylkill,Ashland 1st Pct.,U.S. House,9,Denny Wolff,Democratic,198,,
Schuylkill,Ashland 2nd Pct.,U.S. House,9,Denny Wolff,Democratic,136,,
Schuylkill,Blythe Twp.,U.S. House,9,Denny Wolff,Democratic,146,,
Schuylkill,Branch Twp.,U.S. House,9,Denny Wolff,Democratic,349,,
Schuylkill,Butler Twp. Englewood,U.S. House,9,Denny Wolff,Democratic,89,,
Schuylkill,Butler Twp. Ft. Springs,U.S. House,9,Denny Wolff,Democratic,251,,
Schuylkill,Butler Twp. Lavelle,U.S. House,9,Denny Wolff,Democratic,198,,
Schuylkill,Butler Twp. Northeast,U.S. House,9,Denny Wolff,Democratic,53,,
Schuylkill,Cass Twp. North,U.S. House,9,Denny Wolff,Democratic,73,,
Schuylkill,Cass Twp. South,U.S. House,9,Denny Wolff,Democratic,231,,
Schuylkill,Delano Twp.,U.S. House,9,Denny Wolff,Democratic,60,,
Schuylkill,East Norwegian Twp.,U.S. House,9,Denny Wolff,Democratic,193,,
Schuylkill,Frackville North,U.S. House,9,Denny Wolff,Democratic,161,,
Schuylkill,Frackville Middle,U.S. House,9,Denny Wolff,Democratic,126,,
Schuylkill,Frackville South,U.S. House,9,Denny Wolff,Democratic,260,,
Schuylkill,Gilberton,U.S. House,9,Denny Wolff,Democratic,104,,
Schuylkill,Girardville,U.S. House,9,Denny Wolff,Democratic,187,,
Schuylkill,Gordon,U.S. House,9,Denny Wolff,Democratic,131,,
Schuylkill,Mahanoy City Pct. 1,U.S. House,9,Denny Wolff,Democratic,60,,
Schuylkill,Mahanoy City Pct. 2,U.S. House,9,Denny Wolff,Democratic,147,,
Schuylkill,Mahanoy City Pct. 3,U.S. House,9,Denny Wolff,Democratic,63,,
Schuylkill,Mahanoy City Pct. 4,U.S. House,9,Denny Wolff,Democratic,158,,
Schuylkill,Mahanoy Twp.,U.S. House,9,Denny Wolff,Democratic,144,,
Schuylkill,Middleport,U.S. House,9,Denny Wolff,Democratic,44,,
Schuylkill,Minersville 1st Pct.,U.S. House,9,Denny Wolff,Democratic,128,,
Schuylkill,Minersville 2nd Pct.,U.S. House,9,Denny Wolff,Democratic,180,,
Schuylkill,Minersville 3rd Pct.,U.S. House,9,Denny Wolff,Democratic,155,,
Schuylkill,Minersville 4th Pct.,U.S. House,9,Denny Wolff,Democratic,118,,
Schuylkill,New Castle Twp.,U.S. House,9,Denny Wolff,Democratic,56,,
Schuylkill,New Philadelphia,U.S. House,9,Denny Wolff,Democratic,192,,
Schuylkill,Norwegian Twp. Currans,U.S. House,9,Denny Wolff,Democratic,264,,
Schuylkill,Norwegian Twp. Marlin,U.S. House,9,Denny Wolff,Democratic,163,,
Schuylkill,Palo Alto 1st Ward,U.S. House,9,Denny Wolff,Democratic,75,,
Schuylkill,Palo Alto 2nd Ward,U.S. House,9,Denny Wolff,Democratic,77,,
Schuylkill,Port Carbon 1st Pct.,U.S. House,9,Denny Wolff,Democratic,87,,
Schuylkill,Port Carbon 2nd Pct.,U.S. House,9,Denny Wolff,Democratic,187,,
Schuylkill,Reilly Twp.,U.S. House,9,Denny Wolff,Democratic,85,,
Schuylkill,Ryan Twp.,U.S. House,9,Denny Wolff,Democratic,219,,
Schuylkill,St. Clair Middle,U.S. House,9,Denny Wolff,Democratic,129,,
Schuylkill,St. Clair South,U.S. House,9,Denny Wolff,Democratic,194,,
Schuylkill,St. Clair North,U.S. House,9,Denny Wolff,Democratic,151,,
Schuylkill,Shenandoah 1st Pct.,U.S. House,9,Denny Wolff,Democratic,26,,
Schuylkill,Shenandoah 2nd Pct.,U.S. House,9,Denny Wolff,Democratic,78,,
Schuylkill,Shenandoah 3rd Pct.,U.S. House,9,Denny Wolff,Democratic,125,,
Schuylkill,Shenandoah 4th Pct.,U.S. House,9,Denny Wolff,Democratic,87,,
Schuylkill,Shenandoah 5th Pct.,U.S. House,9,Denny Wolff,Democratic,73,,
Schuylkill,Shenandoah 6th Pct.,U.S. House,9,Denny Wolff,Democratic,28,,
Schuylkill,West Mahanoy Twp. Altamont,U.S. House,9,Denny Wolff,Democratic,104,,
Schuylkill,West Mahanoy Twp. Pct. 2,U.S. House,9,Denny Wolff,Democratic,204,,
Schuylkill,West Mahanoy Twp. Pct. 1,U.S. House,9,Denny Wolff,Democratic,76,,
Schuylkill,Auburn,U.S. House,9,Denny Wolff,Democratic,84,,
Schuylkill,Coaldale East Pct.,U.S. House,9,Denny Wolff,Democratic,128,,
Schuylkill,Coaldale West Pct.,U.S. House,9,Denny Wolff,Democratic,136,,
Schuylkill,Deer Lake,U.S. House,9,Denny Wolff,Democratic,140,,
Schuylkill,East Brunswick Twp.,U.S. House,9,Denny Wolff,Democratic,216,,
Schuylkill,East Union Twp.,U.S. House,9,Denny Wolff,Democratic,185,,
Schuylkill,Kline Twp.,U.S. House,9,Denny Wolff,Democratic,164,,
Schuylkill,Landingville,U.S. House,9,Denny Wolff,Democratic,20,,
Schuylkill,McAdoo 1st Pct.,U.S. House,9,Denny Wolff,Democratic,105,,
Schuylkill,McAdoo 2nd Pct.,U.S. House,9,Denny Wolff,Democratic,156,,
Schuylkill,New Ringgold,U.S. House,9,Denny Wolff,Democratic,38,,
Schuylkill,North Union Twp.,U.S. House,9,Denny Wolff,Democratic,158,,
Schuylkill,Port Clinton,U.S. House,9,Denny Wolff,Democratic,38,,
Schuylkill,Ringtown,U.S. House,9,Denny Wolff,Democratic,108,,
Schuylkill,Rush Twp. East,U.S. House,9,Denny Wolff,Democratic,256,,
Schuylkill,Rush Twp. West,U.S. House,9,Denny Wolff,Democratic,213,,
Schuylkill,Rush Twp. Elixir,U.S. House,9,Denny Wolff,Democratic,57,,
Schuylkill,Schuylkill Twp.,U.S. House,9,Denny Wolff,Democratic,165,,
Schuylkill,Tamaqua Pct. 1,U.S. House,9,Denny Wolff,Democratic,160,,
Schuylkill,Tamaqua Pct. 2,U.S. House,9,Denny Wolff,Democratic,186,,
Schuylkill,Tamaqua Pct. 3,U.S. House,9,Denny Wolff,Democratic,208,,
Schuylkill,Tamaqua Pct. 4,U.S. House,9,Denny Wolff,Democratic,147,,
Schuylkill,Union Twp.,U.S. House,9,Denny Wolff,Democratic,176,,
Schuylkill,Walker Twp.,U.S. House,9,Denny Wolff,Democratic,123,,
Schuylkill,West Brunswick Twp. North,U.S. House,9,Denny Wolff,Democratic,331,,
Schuylkill,West Brunswick Twp. South,U.S. House,9,Denny Wolff,Democratic,163,,
Schuylkill,West Penn Twp. Pct. 2,U.S. House,9,Denny Wolff,Democratic,130,,
Schuylkill,West Penn Twp. Pct. 1,U.S. House,9,Denny Wolff,Democratic,243,,
Schuylkill,Barry Twp.,U.S. House,9,Denny Wolff,Democratic,109,,
Schuylkill,Cressona,U.S. House,9,Denny Wolff,Democratic,194,,
Schuylkill,Eldred Twp.,U.S. House,9,Denny Wolff,Democratic,91,,
Schuylkill,Foster Twp.,U.S. House,9,Denny Wolff,Democratic,49,,
