county,precinct,office,district,candidate,party,votes,absentee,election_day
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Democratic,DEM,12,0,12
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Republican,REP,20,0,20
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Straight Party,,Libertarian,LN,1,0,1
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,24,0,24
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Lou Barletta,REP,35,0,35
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Neal Gale,GRN,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Dale R Kerns Jr,LN,2,0,2
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Tom Wolf,DEM,28,0,28
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Scott R Wagner,REP,32,0,32
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0100 ADAMSBURG BOROUGH,Governor,,Ken V Krawchuk,LN,1,0,1
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14.0,Bibiana Boerio,DEM,19,0,19
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14.0,Guy Reschenthaler,REP,42,0,42
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58.0,Mary Popovich,DEM,21,0,21
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58.0,Justin Walsh,REP,40,0,40
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Democratic,DEM,279,10,269
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Republican,REP,529,11,518
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0203 ALLEGHENY TWP - NO 1,Straight Party,,Libertarian,LN,2,0,2
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Bob Casey Jr,DEM,498,16,482
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Lou Barletta,REP,782,21,761
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Neal Gale,GRN,5,0,5
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Dale R Kerns Jr,LN,12,0,12
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Tom Wolf,DEM,549,20,529
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Scott R Wagner,REP,745,17,728
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Paul Glover,GRN,7,0,7
Westmoreland,0203 ALLEGHENY TWP - NO 1,Governor,,Ken V Krawchuk,LN,7,0,7
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14.0,Bibiana Boerio,DEM,457,16,441
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14.0,Guy Reschenthaler,REP,848,21,827
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54.0,Jon McCabe,DEM,465,15,450
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54.0,Bob Brooks,REP,833,22,811
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Democratic,DEM,60,9,51
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Republican,REP,160,5,155
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Straight Party,,Libertarian,LN,2,0,2
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Bob Casey Jr,DEM,120,9,111
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Lou Barletta,REP,222,7,215
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Neal Gale,GRN,2,0,2
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Dale R Kerns Jr,LN,4,0,4
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Tom Wolf,DEM,120,9,111
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Scott R Wagner,REP,223,7,216
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0206 ALLEGHENY TWP - NO 2,Governor,,Ken V Krawchuk,LN,4,0,4
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. House,14.0,Bibiana Boerio,DEM,109,9,100
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. House,14.0,Guy Reschenthaler,REP,239,7,232
Westmoreland,0206 ALLEGHENY TWP - NO 2,State House,54.0,Jon McCabe,DEM,114,9,105
Westmoreland,0206 ALLEGHENY TWP - NO 2,State House,54.0,Bob Brooks,REP,231,7,224
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Democratic,DEM,204,8,196
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Republican,REP,278,4,274
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Bob Casey Jr,DEM,410,10,400
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Lou Barletta,REP,440,6,434
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Neal Gale,GRN,4,1,3
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. Senate,,Dale R Kerns Jr,LN,3,0,3
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Tom Wolf,DEM,432,10,422
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Scott R Wagner,REP,425,6,419
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Paul Glover,GRN,2,0,2
Westmoreland,0209 ALLEGHENY TWP - NO 3,Governor,,Ken V Krawchuk,LN,4,1,3
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. House,14.0,Bibiana Boerio,DEM,378,10,368
Westmoreland,0209 ALLEGHENY TWP - NO 3,U.S. House,14.0,Guy Reschenthaler,REP,484,7,477
Westmoreland,0209 ALLEGHENY TWP - NO 3,State House,54.0,Jon McCabe,DEM,377,10,367
Westmoreland,0209 ALLEGHENY TWP - NO 3,State House,54.0,Bob Brooks,REP,482,7,475
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Democratic,DEM,93,0,93
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Republican,REP,205,8,197
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Straight Party,,Libertarian,LN,1,0,1
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Bob Casey Jr,DEM,194,2,192
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Lou Barletta,REP,294,10,284
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Neal Gale,GRN,1,0,1
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Tom Wolf,DEM,211,3,208
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Scott R Wagner,REP,273,9,264
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Paul Glover,GRN,2,0,2
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Ken V Krawchuk,LN,9,0,9
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. House,14.0,Bibiana Boerio,DEM,170,2,168
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. House,14.0,Guy Reschenthaler,REP,322,10,312
Westmoreland,0212 ALLEGHENY TWP - NO 4,State House,54.0,Jon McCabe,DEM,171,1,170
Westmoreland,0212 ALLEGHENY TWP - NO 4,State House,54.0,Bob Brooks,REP,322,11,311
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Democratic,DEM,86,8,78
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Republican,REP,117,6,111
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Libertarian,LN,1,0,1
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Bob Casey Jr,DEM,154,8,146
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Lou Barletta,REP,169,7,162
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Neal Gale,GRN,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Dale R Kerns Jr,LN,3,0,3
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Tom Wolf,DEM,158,9,149
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Scott R Wagner,REP,164,6,158
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Ken V Krawchuk,LN,4,0,4
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. House,14.0,Bibiana Boerio,DEM,139,9,130
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. House,14.0,Guy Reschenthaler,REP,185,6,179
Westmoreland,0215 ALLEGHENY TWP - NO 5,State House,54.0,Jon McCabe,DEM,148,8,140
Westmoreland,0215 ALLEGHENY TWP - NO 5,State House,54.0,Bob Brooks,REP,177,7,170
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Democratic,DEM,73,1,72
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Republican,REP,24,0,24
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Bob Casey Jr,DEM,91,2,89
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Lou Barletta,REP,31,0,31
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Neal Gale,GRN,2,0,2
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Dale R Kerns Jr,LN,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Tom Wolf,DEM,96,2,94
Westmoreland,0311 ARNOLD - 1-1,Governor,,Scott R Wagner,REP,30,0,30
Westmoreland,0311 ARNOLD - 1-1,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Ken V Krawchuk,LN,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. House,14.0,Bibiana Boerio,DEM,90,1,89
Westmoreland,0311 ARNOLD - 1-1,U.S. House,14.0,Guy Reschenthaler,REP,35,1,34
Westmoreland,0311 ARNOLD - 1-1,State House,33.0,Frank Dermody,DEM,92,1,91
Westmoreland,0311 ARNOLD - 1-1,State House,33.0,Joshua R Nulph,REP,34,1,33
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Democratic,DEM,85,0,85
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Republican,REP,16,0,16
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Green Party,GRN,2,0,2
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Bob Casey Jr,DEM,104,0,104
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Lou Barletta,REP,20,0,20
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Neal Gale,GRN,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Dale R Kerns Jr,LN,3,0,3
Westmoreland,0312 ARNOLD - 1-2,Governor,,Tom Wolf,DEM,103,0,103
Westmoreland,0312 ARNOLD - 1-2,Governor,,Scott R Wagner,REP,21,0,21
Westmoreland,0312 ARNOLD - 1-2,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Ken V Krawchuk,LN,3,0,3
Westmoreland,0312 ARNOLD - 1-2,U.S. House,14.0,Bibiana Boerio,DEM,101,0,101
Westmoreland,0312 ARNOLD - 1-2,U.S. House,14.0,Guy Reschenthaler,REP,24,0,24
Westmoreland,0312 ARNOLD - 1-2,State House,33.0,Frank Dermody,DEM,101,0,101
Westmoreland,0312 ARNOLD - 1-2,State House,33.0,Joshua R Nulph,REP,25,0,25
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Democratic,DEM,121,7,114
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Republican,REP,70,1,69
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Libertarian,LN,2,0,2
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Bob Casey Jr,DEM,185,9,176
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Lou Barletta,REP,110,2,108
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Neal Gale,GRN,1,0,1
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Dale R Kerns Jr,LN,5,0,5
Westmoreland,0321 ARNOLD - 2-1,Governor,,Tom Wolf,DEM,189,9,180
Westmoreland,0321 ARNOLD - 2-1,Governor,,Scott R Wagner,REP,109,2,107
Westmoreland,0321 ARNOLD - 2-1,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Ken V Krawchuk,LN,4,0,4
Westmoreland,0321 ARNOLD - 2-1,U.S. House,14.0,Bibiana Boerio,DEM,177,8,169
Westmoreland,0321 ARNOLD - 2-1,U.S. House,14.0,Guy Reschenthaler,REP,119,2,117
Westmoreland,0321 ARNOLD - 2-1,State House,33.0,Frank Dermody,DEM,184,8,176
Westmoreland,0321 ARNOLD - 2-1,State House,33.0,Joshua R Nulph,REP,118,3,115
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Democratic,DEM,146,11,135
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Republican,REP,72,0,72
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Green Party,GRN,1,0,1
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Libertarian,LN,2,0,2
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Bob Casey Jr,DEM,237,11,226
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Lou Barletta,REP,110,0,110
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Neal Gale,GRN,4,0,4
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Westmoreland,0322 ARNOLD - 2-2,Governor,,Tom Wolf,DEM,237,11,226
Westmoreland,0322 ARNOLD - 2-2,Governor,,Scott R Wagner,REP,112,0,112
Westmoreland,0322 ARNOLD - 2-2,Governor,,Paul Glover,GRN,5,0,5
Westmoreland,0322 ARNOLD - 2-2,Governor,,Ken V Krawchuk,LN,4,0,4
Westmoreland,0322 ARNOLD - 2-2,U.S. House,14.0,Bibiana Boerio,DEM,219,11,208
Westmoreland,0322 ARNOLD - 2-2,U.S. House,14.0,Guy Reschenthaler,REP,137,0,137
Westmoreland,0322 ARNOLD - 2-2,State House,33.0,Frank Dermody,DEM,233,11,222
Westmoreland,0322 ARNOLD - 2-2,State House,33.0,Joshua R Nulph,REP,125,0,125
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Democratic,DEM,140,7,133
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Republican,REP,74,3,71
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Green Party,GRN,1,0,1
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Bob Casey Jr,DEM,229,10,219
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Lou Barletta,REP,111,4,107
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Neal Gale,GRN,3,0,3
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Westmoreland,0323 ARNOLD - 2-3,Governor,,Tom Wolf,DEM,240,10,230
Westmoreland,0323 ARNOLD - 2-3,Governor,,Scott R Wagner,REP,109,3,106
Westmoreland,0323 ARNOLD - 2-3,Governor,,Paul Glover,GRN,2,0,2
Westmoreland,0323 ARNOLD - 2-3,Governor,,Ken V Krawchuk,LN,3,1,2
Westmoreland,0323 ARNOLD - 2-3,U.S. House,14.0,Bibiana Boerio,DEM,222,9,213
Westmoreland,0323 ARNOLD - 2-3,U.S. House,14.0,Guy Reschenthaler,REP,132,5,127
Westmoreland,0323 ARNOLD - 2-3,State House,33.0,Frank Dermody,DEM,228,10,218
Westmoreland,0323 ARNOLD - 2-3,State House,33.0,Joshua R Nulph,REP,129,4,125
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Democratic,DEM,19,1,18
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Republican,REP,41,0,41
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,46,2,44
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Lou Barletta,REP,61,2,59
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Neal Gale,GRN,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Dale R Kerns Jr,LN,5,1,4
Westmoreland,0400 ARONA BOROUGH,Governor,,Tom Wolf,DEM,48,1,47
Westmoreland,0400 ARONA BOROUGH,Governor,,Scott R Wagner,REP,62,3,59
Westmoreland,0400 ARONA BOROUGH,Governor,,Paul Glover,GRN,2,0,2
Westmoreland,0400 ARONA BOROUGH,Governor,,Ken V Krawchuk,LN,1,1,0
Westmoreland,0400 ARONA BOROUGH,U.S. House,14.0,Bibiana Boerio,DEM,36,1,35
Westmoreland,0400 ARONA BOROUGH,U.S. House,14.0,Guy Reschenthaler,REP,76,4,72
Westmoreland,0400 ARONA BOROUGH,State House,58.0,Mary Popovich,DEM,34,2,32
Westmoreland,0400 ARONA BOROUGH,State House,58.0,Justin Walsh,REP,79,3,76
Westmoreland,0500 AVONMORE BOROUGH,Straight Party,,Democratic,DEM,103,2,101
Westmoreland,0500 AVONMORE BOROUGH,Straight Party,,Republican,REP,81,4,77
Westmoreland,0500 AVONMORE BOROUGH,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0500 AVONMORE BOROUGH,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0500 AVONMORE BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,176,4,172
Westmoreland,0500 AVONMORE BOROUGH,U.S. Senate,,Lou Barletta,REP,132,5,126
Westmoreland,0500 AVONMORE BOROUGH,U.S. Senate,,Neal Gale,GRN,2,0,1
Westmoreland,0500 AVONMORE BOROUGH,U.S. Senate,,Dale R Kerns Jr,LN,2,0,2
Westmoreland,0500 AVONMORE BOROUGH,Governor,,Tom Wolf,DEM,180,3,176
Westmoreland,0500 AVONMORE BOROUGH,Governor,,Scott R Wagner,REP,132,6,125
Westmoreland,0500 AVONMORE BOROUGH,Governor,,Paul Glover,GRN,1,0,1
Westmoreland,0500 AVONMORE BOROUGH,Governor,,Ken V Krawchuk,LN,0,0,0
Westmoreland,0500 AVONMORE BOROUGH,U.S. House,14.0,Bibiana Boerio,DEM,162,3,159
Westmoreland,0500 AVONMORE BOROUGH,U.S. House,14.0,Guy Reschenthaler,REP,147,6,139
Westmoreland,0500 AVONMORE BOROUGH,State House,55.0,Joseph A Petrarca,DEM,246,5,240
Westmoreland,0603 BELL TWP - PERRYSVILLE,Straight Party,,Democratic,DEM,83,4,79
Westmoreland,0603 BELL TWP - PERRYSVILLE,Straight Party,,Republican,REP,198,12,186
Westmoreland,0603 BELL TWP - PERRYSVILLE,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0603 BELL TWP - PERRYSVILLE,Straight Party,,Libertarian,LN,1,0,1
