,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
0,2,2018,ADAMS,DEM,"WOLF, THOMAS W ",15862,0,0,40.62,0.00,0.00,"FETTERMAN, JOHN K",ADAMS,1,0,Governor
1,4,2018,ADAMS,REP,"WAGNER, SCOTT R ",22501,0,0,57.62,0.00,0.00,"BARTOS, JEFFREY A",ADAMS,5,0,Governor
2,,2018,ADAMS,GRN,"GLOVER, PAUL ",255,0,0,0.65,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",ADAMS,14,0,Governor
3,,2018,ADAMS,LIB,"KRAWCHUK, KENNETH V ",435,0,0,1.11,0.00,0.00,"SMITH, KATHLEEN S",ADAMS,17,0,Governor
0,2,2018,ALLEGHENY,DEM,"WOLF, THOMAS W ",364710,0,0,67.38,0.00,0.00,"FETTERMAN, JOHN K",ALLEGHENY,1,0,Governor
1,4,2018,ALLEGHENY,REP,"WAGNER, SCOTT R ",168893,0,0,31.20,0.00,0.00,"BARTOS, JEFFREY A",ALLEGHENY,5,0,Governor
2,,2018,ALLEGHENY,GRN,"GLOVER, PAUL ",2458,0,0,0.45,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",ALLEGHENY,14,0,Governor
3,,2018,ALLEGHENY,LIB,"KRAWCHUK, KENNETH V ",5244,0,0,0.97,0.00,0.00,"SMITH, KATHLEEN S",ALLEGHENY,17,0,Governor
0,2,2018,ARMSTRONG,DEM,"WOLF, THOMAS W ",8839,0,0,35.87,0.00,0.00,"FETTERMAN, JOHN K",ARMSTRONG,1,0,Governor
1,4,2018,ARMSTRONG,REP,"WAGNER, SCOTT R ",15373,0,0,62.38,0.00,0.00,"BARTOS, JEFFREY A",ARMSTRONG,5,0,Governor
2,,2018,ARMSTRONG,GRN,"GLOVER, PAUL ",153,0,0,0.62,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",ARMSTRONG,14,0,Governor
3,,2018,ARMSTRONG,LIB,"KRAWCHUK, KENNETH V ",278,0,0,1.13,0.00,0.00,"SMITH, KATHLEEN S",ARMSTRONG,17,0,Governor
0,2,2018,BEAVER,DEM,"WOLF, THOMAS W ",36166,0,0,53.28,0.00,0.00,"FETTERMAN, JOHN K",BEAVER,1,0,Governor
1,4,2018,BEAVER,REP,"WAGNER, SCOTT R ",30593,0,0,45.07,0.00,0.00,"BARTOS, JEFFREY A",BEAVER,5,0,Governor
2,,2018,BEAVER,GRN,"GLOVER, PAUL ",406,0,0,0.60,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BEAVER,14,0,Governor
3,,2018,BEAVER,LIB,"KRAWCHUK, KENNETH V ",711,0,0,1.05,0.00,0.00,"SMITH, KATHLEEN S",BEAVER,17,0,Governor
0,2,2018,BEDFORD,DEM,"WOLF, THOMAS W ",4408,0,0,23.37,0.00,0.00,"FETTERMAN, JOHN K",BEDFORD,1,0,Governor
1,4,2018,BEDFORD,REP,"WAGNER, SCOTT R ",14261,0,0,75.60,0.00,0.00,"BARTOS, JEFFREY A",BEDFORD,5,0,Governor
2,,2018,BEDFORD,GRN,"GLOVER, PAUL ",84,0,0,0.45,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BEDFORD,14,0,Governor
3,,2018,BEDFORD,LIB,"KRAWCHUK, KENNETH V ",110,0,0,0.58,0.00,0.00,"SMITH, KATHLEEN S",BEDFORD,17,0,Governor
0,2,2018,BERKS,DEM,"WOLF, THOMAS W ",76136,0,0,52.72,0.00,0.00,"FETTERMAN, JOHN K",BERKS,1,0,Governor
1,4,2018,BERKS,REP,"WAGNER, SCOTT R ",65756,0,0,45.53,0.00,0.00,"BARTOS, JEFFREY A",BERKS,5,0,Governor
2,,2018,BERKS,GRN,"GLOVER, PAUL ",915,0,0,0.63,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BERKS,14,0,Governor
3,,2018,BERKS,LIB,"KRAWCHUK, KENNETH V ",1619,0,0,1.12,0.00,0.00,"SMITH, KATHLEEN S",BERKS,17,0,Governor
0,2,2018,BLAIR,DEM,"WOLF, THOMAS W ",14622,0,0,33.60,0.00,0.00,"FETTERMAN, JOHN K",BLAIR,1,0,Governor
1,4,2018,BLAIR,REP,"WAGNER, SCOTT R ",28175,0,0,64.74,0.00,0.00,"BARTOS, JEFFREY A",BLAIR,5,0,Governor
2,,2018,BLAIR,GRN,"GLOVER, PAUL ",217,0,0,0.50,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BLAIR,14,0,Governor
3,,2018,BLAIR,LIB,"KRAWCHUK, KENNETH V ",508,0,0,1.17,0.00,0.00,"SMITH, KATHLEEN S",BLAIR,17,0,Governor
0,2,2018,BRADFORD,DEM,"WOLF, THOMAS W ",6852,0,0,33.56,0.00,0.00,"FETTERMAN, JOHN K",BRADFORD,1,0,Governor
1,4,2018,BRADFORD,REP,"WAGNER, SCOTT R ",13068,0,0,64.00,0.00,0.00,"BARTOS, JEFFREY A",BRADFORD,5,0,Governor
2,,2018,BRADFORD,GRN,"GLOVER, PAUL ",181,0,0,0.89,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BRADFORD,14,0,Governor
3,,2018,BRADFORD,LIB,"KRAWCHUK, KENNETH V ",319,0,0,1.56,0.00,0.00,"SMITH, KATHLEEN S",BRADFORD,17,0,Governor
0,2,2018,BUCKS,DEM,"WOLF, THOMAS W ",172302,0,0,58.54,0.00,0.00,"FETTERMAN, JOHN K",BUCKS,1,0,Governor
1,4,2018,BUCKS,REP,"WAGNER, SCOTT R ",117912,0,0,40.06,0.00,0.00,"BARTOS, JEFFREY A",BUCKS,5,0,Governor
2,,2018,BUCKS,GRN,"GLOVER, PAUL ",1513,0,0,0.51,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BUCKS,14,0,Governor
3,,2018,BUCKS,LIB,"KRAWCHUK, KENNETH V ",2602,0,0,0.88,0.00,0.00,"SMITH, KATHLEEN S",BUCKS,17,0,Governor
0,2,2018,BUTLER,DEM,"WOLF, THOMAS W ",32891,0,0,41.26,0.00,0.00,"FETTERMAN, JOHN K",BUTLER,1,0,Governor
1,4,2018,BUTLER,REP,"WAGNER, SCOTT R ",45242,0,0,56.76,0.00,0.00,"BARTOS, JEFFREY A",BUTLER,5,0,Governor
2,,2018,BUTLER,GRN,"GLOVER, PAUL ",490,0,0,0.61,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",BUTLER,14,0,Governor
3,,2018,BUTLER,LIB,"KRAWCHUK, KENNETH V ",1088,0,0,1.36,0.00,0.00,"SMITH, KATHLEEN S",BUTLER,17,0,Governor
0,2,2018,CAMBRIA,DEM,"WOLF, THOMAS W ",21639,0,0,43.37,0.00,0.00,"FETTERMAN, JOHN K",CAMBRIA,1,0,Governor
